date,price_date,low,high,average
2026-03-28,2026-03-27,300,360,309.23
2026-03-30,2026-03-30,300,600,321.82
2026-03-31,2026-03-30,300,600,321.82
2026-04-01,2026-03-31,200,500,397.89
2026-04-02,2026-04-01,200,300,289.35
2026-04-03,2026-04-02,250,300,298.31
2026-04-06,2026-04-02,250,300,298.31
2026-04-07,2026-04-07,80,300,247.28
2026-04-08,2026-04-08,50,300,153.60
2026-04-09,2026-04-09,225,350,298.61
2026-04-10,2026-04-10,225,300,246.67
2026-04-13,2026-04-13,100,300,219.44
2026-04-14,2026-04-14,120,300,218.33
2026-04-15,2026-04-15,200,200,200.00
2026-04-16,2026-04-16,120,200,129.33
2026-04-17,2026-04-17,80,250,35.71
2026-04-20,2026-04-20,300,350,335.71
2026-04-21,2026-04-21,250,650,375.00
2026-04-22,2026-04-22,250,400,293.75
2026-04-23,2026-04-23,300,400,339.29
2026-04-24,2026-04-24,35,400,154.27
2026-04-27,2026-04-24,35,400,154.27
2026-04-28,2026-04-28,40,350,124.44
2026-04-29,2026-04-28,40,350,124.44
2026-04-30,2026-04-29,80,350,338.00
2026-05-01,2026-04-30,80,350,263.67
2026-05-04,2026-04-30,80,350,263.67
2026-05-05,2026-05-04,75,350,277.66
2026-05-07,2026-05-06,10,300,206.80
2026-05-08,2026-05-07,200,280,433.33
2026-05-11,2026-05-11,30,300,195.48
2026-05-12,2026-05-11,30,300,195.48
2026-05-13,2026-05-12,30,750,153.89
2026-05-14,2026-05-13,40,420,225.00
2026-05-15,2026-05-14,40,420,323.33
2026-05-18,2026-05-18,40,700,268.99
2026-05-20,2026-05-20,40,350,293.47
